EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,2,2,2,1,3,4,2,10,vanaisa; hämarik; faehlmann; valgusandja; koit
2,2,2,2,2,1,3,4,1,10,vanaisa; hämarik; faehlmann; valgusandja; koit
2,2,2,2,2,1,3,4,1,10,vanaisa; hämarik; faehlmann; valgusandja; koit
2,2,2,2,2,1,3,4,1,10,vanaisa; hämarik; faehlmann; valgusandja; koit
2,2,2,2,2,1,3,4,1,10,vanaisa; hämarik; faehlmann; valgusandja; koit
2,2,2,2,2,1,3,4,1,10,vanaisa; hämarik; faehlmann; valgusandja; koit
2,2,2,2,2,1,3,4,1,10,vanaisa; hämarik; faehlmann; valgusandja; koit
2,2,2,2,2,1,3,4,1,10,vanaisa; hämarik; faehlmann; valgusandja; koit
2,2,2,3,2,1,3,4,1,10,vanaisa; hämarik; faehlmann; valgusandja; koit
2,2,2,2,2,1,3,4,1,10,vanaisa; hämarik; faehlmann; valgusandja; koit
2,2,2,1,1,2,1,4,1,10,vanaisa; hämarik; faehlmann; valgusandja; koit
