EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,2,0,1,1,0,0,0,2,16,piret; peeter; jürgens; kriivan; tiisler; toomas; tarmo; naissoo; kersna; tõnu
7,2,0,1,1,0,0,0,2,16,piret; peeter; jürgens; kriivan; tiisler; toomas; tarmo; naissoo; kersna; tõnu
7,2,0,1,1,0,0,0,2,16,piret; peeter; jürgens; kriivan; tiisler; toomas; tarmo; naissoo; kersna; tõnu
7,2,0,1,1,0,0,0,2,16,piret; peeter; jürgens; kriivan; tiisler; toomas; tarmo; naissoo; kersna; tõnu
7,2,0,1,1,0,0,0,2,16,piret; peeter; jürgens; kriivan; tiisler; toomas; tarmo; naissoo; kersna; tõnu
7,2,0,1,1,0,0,0,2,16,piret; peeter; jürgens; kriivan; tiisler; toomas; tarmo; naissoo; kersna; tõnu
7,2,0,1,1,0,0,0,2,16,piret; peeter; jürgens; kriivan; tiisler; toomas; tarmo; naissoo; kersna; tõnu
7,2,0,1,1,0,0,0,2,16,piret; peeter; jürgens; kriivan; tiisler; toomas; tarmo; naissoo; kersna; tõnu
7,2,0,1,1,0,0,0,2,16,piret; peeter; jürgens; kriivan; tiisler; toomas; tarmo; naissoo; kersna; tõnu
7,2,0,1,1,0,0,0,2,16,piret; peeter; jürgens; kriivan; tiisler; toomas; tarmo; naissoo; kersna; tõnu
7,2,0,1,1,0,0,0,2,16,piret; peeter; jürgens; kriivan; tiisler; toomas; tarmo; naissoo; kersna; tõnu
