EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,3,1,4,2,2,2,0,16,kriska; narva; aivar; keraamika; orgaaniline; materjal; savinõu; kiviaja
2,1,3,1,4,2,2,2,0,16,kriska; narva; aivar; keraamika; orgaaniline; materjal; savinõu; kiviaja
2,1,3,1,4,2,2,2,0,16,kriska; narva; aivar; keraamika; orgaaniline; materjal; savinõu; kiviaja
2,1,3,1,4,2,2,2,0,16,kriska; narva; aivar; keraamika; orgaaniline; materjal; savinõu; kiviaja
2,1,3,1,4,2,2,2,0,16,kriska; narva; aivar; keraamika; orgaaniline; materjal; savinõu; kiviaja
2,1,3,1,4,2,2,2,0,16,kriska; narva; aivar; keraamika; orgaaniline; materjal; savinõu; kiviaja
2,1,3,1,4,2,2,2,0,16,kriska; narva; aivar; keraamika; orgaaniline; materjal; savinõu; kiviaja
2,1,3,1,4,2,2,2,0,16,kriska; narva; aivar; keraamika; orgaaniline; materjal; savinõu; kiviaja
2,1,3,1,4,2,2,2,0,16,kriska; narva; aivar; keraamika; orgaaniline; materjal; savinõu; kiviaja
2,1,3,1,4,2,2,2,0,16,kriska; narva; aivar; keraamika; orgaaniline; materjal; savinõu; kiviaja
2,1,3,1,4,2,2,2,0,16,kriska; narva; aivar; keraamika; orgaaniline; materjal; savinõu; kiviaja
