EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,3,4,4,5,5,4,5,12,saatus; laul; mäng; varrukas; trump; eluga
4,2,3,4,4,5,5,4,5,12,saatus; laul; mäng; varrukas; trump; eluga
4,2,3,4,4,5,5,4,5,12,saatus; laul; mäng; varrukas; trump; eluga
4,2,3,4,4,5,5,4,5,12,saatus; laul; mäng; varrukas; trump; eluga
4,2,3,4,4,5,5,4,5,12,saatus; laul; mäng; varrukas; trump; eluga
4,2,3,4,4,5,5,4,5,12,saatus; laul; mäng; varrukas; trump; eluga
4,2,3,4,4,5,5,4,5,12,saatus; laul; mäng; varrukas; trump; eluga
4,2,3,4,4,5,5,4,5,12,saatus; laul; mäng; varrukas; trump; eluga
4,2,3,4,4,5,5,4,5,12,saatus; laul; mäng; varrukas; trump; eluga
4,2,3,4,4,5,5,4,5,12,saatus; laul; mäng; varrukas; trump; eluga
4,2,3,4,4,5,5,4,5,12,saatus; laul; mäng; varrukas; trump; eluga
