EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,1,1,1,2,1,3,2,11,telekas; füüsika; analoogantenn; elektron; signaal; valgus
1,2,1,1,1,2,1,3,2,11,telekas; füüsika; analoogantenn; elektron; signaal; valgus
1,2,1,1,1,2,1,3,2,11,telekas; füüsika; analoogantenn; elektron; signaal; valgus
1,2,1,1,1,2,1,3,2,11,telekas; füüsika; analoogantenn; elektron; signaal; valgus
1,2,1,1,1,2,1,2,2,11,telekas; füüsika; analoogantenn; elektron; signaal; valgus
1,2,1,1,1,2,1,2,2,11,telekas; füüsika; analoogantenn; elektron; signaal; valgus
1,2,1,1,1,2,1,2,2,11,telekas; füüsika; analoogantenn; elektron; signaal; valgus
1,2,1,1,1,2,1,2,2,11,telekas; füüsika; analoogantenn; elektron; signaal; valgus
1,2,1,1,1,2,1,2,2,11,telekas; füüsika; analoogantenn; elektron; signaal; valgus
1,2,1,1,1,2,1,2,2,11,telekas; füüsika; analoogantenn; elektron; signaal; valgus
1,2,1,1,1,2,1,2,2,11,telekas; füüsika; analoogantenn; elektron; signaal; valgus
