keyphrase;score
Eestile;0.8369
Aitäh;0.8288
Eestist;0.826
kõnekoosolekul;0.8259
kõnekoosolek;0.8244
konverentsist;0.8239
Estonias;0.8239
Eesti-kesksemaks;0.8235
eestlastest;0.8231
kõnekoosolekuid;0.8218
Järgmine;0.8211
Estonlased;0.8208
Tänan;0.8207
Estoniat;0.8207
Selleks;0.8204
eestile;0.8204
Eesti-Soome;0.8203
Ühest;0.8202
eestimaaseltside;0.8196
esimees;0.8195
Kuule;0.8183
öelda;0.8176
eestistada;0.8166
Meie;0.8164
kõne;0.8164
ütleksin;0.8163
esinejad;0.8163
täname;0.8162
ütleb;0.8162
eestlast;0.8161
Eestimaa;0.8161
Tallinnast;0.816
Kuidas;0.8156
Eestimaal;0.8154
Estoonlased;0.8151
kontserdi;0.8149
Sellepärast;0.8148
õnnitleb;0.8147
ütlesime;0.8144
rääkida;0.8143
Toomas;0.8142
liikmetest;0.8142
ütle;0.8141
Viljandini;0.8139
Eesti;0.8138
Venelastelt;0.8136
sisseõnnistamine;0.8136
tänan;0.8135
ütleme;0.8133
kõnet;0.8133
Praegu;0.8131
näe;0.813
räägime;0.813
rääkima;0.813
Euroopast;0.8127
kõnelesin;0.8124
kõnele;0.8123
Soomest;0.812
Estonia;0.8119
Rootsist;0.8118
tõsta;0.8118
rääkisin;0.8112
Pätsi;0.8111
kutsuks;0.8109
ütleksid;0.8109
ütles;0.8109
nii-öelda;0.8108
räägitakse;0.8108
esineb;0.8107
Välile;0.8106
Praegus;0.8106
kohtumishomme;0.8105
Siis;0.8104
kutsutuna;0.8103
sõnasaator;0.8102
esindajatega;0.8102
liikmest;0.8098
Rootsimaal;0.8095
räägin;0.8095
eestinud;0.809
lõpuks;0.8086
näiteks;0.8083
koosolekule;0.8082
liige;0.808
Sõnavõtt;0.8079
juubeliõhtul;0.8075
Liit;0.8075
otse;0.8075
Tänulda;0.8074
esimesest;0.8074
ülem;0.8074
eestingeeline;0.8071
Kaarel;0.807
näidata;0.8069
Asendamisest;0.8068
sõnadega;0.8068
eestikult;0.8065
rääkis;0.8065
eestlaskond;0.8063
nimetaksin;0.8062
kuulnudki;0.8061
Tammsaare;0.8059
Tallinn;0.8058
tegemist;0.8058
palutakse;0.8057
tahaksingi;0.8057
Täna;0.8056
Tegelikult;0.8054
kirjutab;0.8054
Kultuuriministeeriumi;0.8053
Rüütel;0.8052
hästi;0.8052
kaasa;0.8051
külalisetendus;0.8048
Siin;0.8043
Jõudsin;0.8043
jälle;0.8043
poistekoorifestivaliga;0.8042
vastata;0.8041
viisibuodijasta;0.8038
pakkuda;0.8038
ülemnõukogu;0.8036
Venemaal;0.8035
Nendel;0.8035
artikli;0.8034
võtsin;0.8034
õnneks;0.8034
rahvale;0.8033
minutit;0.803
algusest;0.803
telefonikõnet;0.803
ettekanded;0.8029
aastast;0.8029
lugemistube;0.8028
esinejaterivi;0.8028
Samuti;0.8027
ühendust;0.8026
Vanemuise;0.8025
õigemini;0.8025
plaani;0.8024
suurim;0.8023
koostada;0.8022
nõuame;0.8022
seltsiga;0.8016
võtame;0.8016
muusikateatri-muusika-;0.8015
Vanalinnastuudio;0.8014
Munaliseerida;0.8013
Monteerinud;0.8012
kuulutada;0.8012
kontserdilavale;0.8012
Haapsalus;0.801
Käämiste;0.8009
Millised;0.8008
meesteseltsina;0.8007
Põldroosi;0.8006
Külalus;0.8005
viis;0.8004
geniaalne;0.8002
põhikirjale;0.8002
Tähendab;0.7999
Esudesta;0.7998
Stockholmis;0.7997
Kaalep;0.7997
Suur;0.7996
Uuden;0.7995
jaakjakombinaatteatri;0.7995
Nii;0.7995
pääsenud;0.7995
Koidulale;0.7995
Vii;0.7993
laulmised;0.7988
nõukogude;0.7987
istumist;0.7987
riikliku;0.7987
teatriarvustustes;0.7986
juhatuste;0.7985
välismaalastele;0.7984
Loodetavasti;0.7983
Saksamaal;0.7983
Teavad;0.7982
pronksisaatmise;0.7981
kultuurinõukogul;0.7981
maailmainimene;0.7979
üldlaulupeo;0.7976
sajandivahetust;0.7975
positsioonina;0.7975
Toivasin;0.7974
Niisiis;0.7971
Teiseks;0.7971
Siljakusele;0.7969
Kadriorus;0.7967
Inimesi;0.796
Jaani;0.7957
kirikusse;0.7955
Heldi;0.7953
Rooma;0.7951
RMK-le;0.7925
spordireportereid;0.7905
Stalini;0.7895
