keyphrase;score
näitlejatest;0.8363
näitlejast;0.8357
Esimesel;0.8355
Näitlejal;0.8342
näitlejaks;0.8288
näitlejaga;0.8285
näitlejale;0.8284
Ükskülale;0.8278
Üks;0.8264
näitlejad;0.826
näitleja;0.8259
näitlejaid;0.8248
näitlejate;0.8247
näitlejat;0.8242
Näiteks;0.8233
teatrikunstipidupäeva;0.8229
näitlejanna;0.8222
Üksküla;0.8219
esimesest;0.8219
teatrihuvi;0.8216
Kuidas;0.8205
teatrikooli;0.8205
Kingissepa;0.8203
esimesel;0.8201
teatritööd;0.82
esimestest;0.8199
koolipõlvest;0.8191
Viimases;0.819
teatriteadlased-kriitikud;0.8186
teatriteadlase;0.8182
näitlejavälises;0.8179
näiteks;0.8171
esimeses;0.8171
teatrimaja;0.8166
Draamateatri;0.8159
inimesena;0.8155
Tõnissoni;0.8148
esinemisest;0.8146
esimese;0.8143
Tõnu;0.8142
Võitlesid;0.8141
Pärast;0.8139
teatritöös;0.8135
Kaarel;0.8127
lõpuks;0.8126
vaatasime;0.8125
Õpetaja;0.8125
klassidest;0.8125
ükskord;0.8124
Niimoodi;0.8123
Aarne;0.8119
klassipäevikus;0.8117
näe;0.8112
lapsepõlvesõbra;0.8111
alguses;0.8109
keskööprogrammi;0.8106
esimesed;0.8106
teatrist;0.8101
teatriafisside;0.8099
Pealegi;0.8098
esimene;0.8098
monoloogid;0.8094
Aava;0.8093
ütleb;0.8093
loomulikult;0.8092
Muidugi;0.8091
Praegu;0.809
mänginud;0.8088
suurim;0.8087
mängisid;0.8087
mängis;0.8086
mängisin;0.8084
ühtemoodi;0.8084
Jaanus;0.8079
ütles;0.8078
ülikoolist;0.8077
Jaan;0.8074
Draamateater;0.8068
parimad;0.8067
koolitükkidega;0.8067
mängisime;0.8065
Vihalemm;0.8064
täismehena;0.8063
Jüri;0.8062
etendusele;0.8062
draamateatri;0.8062
Siin;0.8061
teatrietenduse;0.8061
Liidu;0.8059
Draamateatris;0.8059
öelda;0.8059
Arukülas;0.8056
viimane;0.8056
noorsooteatri;0.8055
Nõukogude;0.8054
Kodus;0.8054
Mulle;0.8052
Mõned;0.8052
Täna;0.805
tahaks;0.805
Samuti;0.8046
nimelt;0.8046
Meeli;0.8045
vaatajast;0.8044
näitel;0.8044
isemoodi;0.8043
tegemist;0.8043
kunstnikutee;0.8042
õpetaja;0.8042
paremini;0.8042
keskkoolist;0.8041
koolitüdrukut;0.804
isiklikult;0.8039
õigemini;0.8039
käisin;0.8038
ainuisikuliselt;0.8038
nägin;0.8037
tänuks;0.8034
Eestimaal;0.803
näinud;0.803
nimesid;0.8028
Keskkoolis;0.8026
näiteringi;0.8025
Smuuli;0.8024
tuntud;0.8024
vaadata;0.8024
rääkima;0.8023
käinud;0.8021
üksküla;0.8021
mäletan;0.802
Kiitusele;0.8017
päriselt;0.8015
esitada;0.8014
viiendasse;0.8013
päeviku;0.8012
hüvastijätukõne;0.8011
artikli;0.8011
Leedu;0.8011
režiimi;0.801
lõpetasin;0.801
lavastuses;0.801
tunniks;0.8009
nullpäevadel;0.8008
Õieti;0.8006
Mõnikord;0.8004
Ojamaaga;0.8003
paremaks;0.8002
näitemäng;0.8001
valitud;0.8
Kunstiteater;0.7999
rääkisin;0.7999
järgnevate;0.7996
inimesed;0.7991
lauljaks;0.7986
Loomingulised;0.7985
näitekunstiimed;0.7984
Veevalajad;0.7983
edusammude;0.7983
Tallinnas;0.7981
Kui;0.7981
ülemisest;0.7981
märkima;0.798
Väga;0.7979
kolleegide;0.7977
Tänu;0.7973
vanemate;0.7973
kunstniku;0.7972
küsimuste-vastuste;0.7971
kohtumisest;0.7971
kaunitarid;0.797
kultuurimajades;0.7969
Pedagoogilisest;0.7968
lukksepa;0.7967
filmivaatamise;0.7967
kuulikovist;0.7966
jätkub;0.7965
tööna;0.7964
Kihnu;0.7962
Ikka;0.7961
erakordsed;0.7958
Rakvere;0.7956
Või;0.7956
sündinud;0.7955
Veeveeaa;0.7954
kangesti;0.7952
tühja-tähja;0.795
traagilisemad;0.7949
kolm;0.7949
Mida;0.7949
Kriitika;0.7944
Täitsa;0.7944
lavakunstikateedris;0.7939
meistrit;0.7935
Mikivad;0.793
Läksimegi;0.7928
sisseastumiseksamite;0.7925
smunktonovskiga;0.7915
Viktor;0.7909
Kirjeldamatu;0.7907
Konservatooriumi;0.7846
