EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,5,7,5,3,4,6,8,11,lill; plaat; koostöö; välismaa; eurovisioon; superstaar; laulma; õigemeel; auhind; kontsert
8,9,6,7,4,3,4,8,8,11,lill; plaat; koostöö; välismaa; eurovisioon; superstaar; laulma; õigemeel; auhind; kontsert
7,9,6,7,5,4,5,8,8,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
7,10,10,7,6,5,7,9,7,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
5,9,9,7,6,9,8,9,7,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
7,9,9,7,6,10,10,9,7,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
7,9,10,8,7,10,10,9,7,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
9,9,9,9,7,10,8,9,7,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
10,9,9,9,9,10,9,8,7,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
10,9,9,8,9,9,8,10,8,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
9,8,8,8,8,10,8,10,9,11,lill; koostöö; superstaar; laulma; õigemeel; kontsert; plaat; välismaa; eurovisioon; auhind
