EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,6,8,5,7,7,6,3,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; protest; noorusarmastus; helilooja; konservatoorium
7,9,6,7,6,7,7,6,4,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; protest; noorusarmastus; helilooja; konservatoorium
7,9,6,7,6,7,8,7,4,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; protest; noorusarmastus; helilooja; konservatoorium
7,9,6,7,9,8,8,7,5,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; protest; noorusarmastus; helilooja; konservatoorium
7,9,7,7,9,8,9,7,5,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; protest; noorusarmastus; helilooja; konservatoorium
8,9,8,7,8,8,8,8,5,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; noorusarmastus; protest; helilooja; konservatoorium
11,9,8,7,9,8,7,8,7,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; helilooja; protest; noorusarmastus; konservatoorium
11,8,8,7,8,11,8,9,8,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; noorusarmastus; helilooja; protest; konservatoorium
9,7,8,7,10,10,9,8,9,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; helilooja; noorusarmastus; protest; konservatoorium
7,8,7,7,8,7,7,9,9,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; helilooja; noorusarmastus; protest; konservatoorium
8,8,9,8,10,8,7,10,8,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; helilooja; noorusarmastus; protest; konservatoorium
