EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,3,1,3,4,4,2,12,aav; näitleja; esinemine; repertuaar; tõnu; juhan
3,3,3,3,1,3,5,4,2,12,aav; näitleja; esinemine; repertuaar; tõnu; juhan
3,3,3,3,1,2,5,5,2,12,aav; näitleja; esinemine; repertuaar; tõnu; juhan
3,3,3,3,1,3,5,5,2,12,aav; näitleja; esinemine; repertuaar; tõnu; juhan
3,4,2,4,2,5,6,6,2,12,aav; näitleja; esinemine; repertuaar; tõnu; juhan
2,3,4,4,1,4,4,5,3,12,aav; näitleja; esinemine; repertuaar; tõnu; juhan
2,5,3,2,1,3,3,5,6,12,aav; näitleja; esinemine; repertuaar; tõnu; juhan
3,5,4,3,2,3,3,4,6,12,aav; näitleja; esinemine; repertuaar; tõnu; juhan
2,4,5,3,2,2,3,3,6,12,aav; näitleja; esinemine; repertuaar; tõnu; juhan
2,5,4,3,4,2,5,5,5,12,aav; näitleja; esinemine; repertuaar; tõnu; juhan
1,5,4,3,4,1,5,5,5,12,aav; näitleja; esinemine; repertuaar; tõnu; juhan
