EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,4,8,3,6,6,6,7,13,fuu; eesti; sümfooniaorkester; otsa; reimann; prelüüd; klaverikontsert; följeton; tants
9,6,4,8,3,7,6,6,7,13,fuu; eesti; sümfooniaorkester; otsa; reimann; prelüüd; klaverikontsert; följeton; tants
9,6,5,8,3,9,7,6,7,13,fuu; eesti; sümfooniaorkester; otsa; reimann; prelüüd; klaverikontsert; följeton; tants
9,6,6,8,4,9,7,6,7,13,fuu; eesti; sümfooniaorkester; otsa; reimann; prelüüd; klaverikontsert; följeton; tants
9,6,6,8,4,9,7,7,7,13,fuu; eesti; sümfooniaorkester; otsa; reimann; prelüüd; klaverikontsert; följeton; tants
7,6,7,8,6,8,7,7,7,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; otsa; följeton; tants
5,7,8,7,7,7,7,7,8,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; otsa; prelüüd; följeton; tants
6,7,8,6,7,6,6,8,8,13,fuu; eesti; sümfooniaorkester; klaverikontsert; otsa; prelüüd; reimann; följeton; tants
6,6,8,6,7,5,5,8,9,13,fuu; eesti; sümfooniaorkester; klaverikontsert; otsa; reimann; prelüüd; följeton; tants
5,7,8,7,6,4,6,8,8,13,fuu; eesti; sümfooniaorkester; otsa; klaverikontsert; reimann; prelüüd; följeton; tants
5,7,8,7,7,4,5,6,8,13,fuu; eesti; sümfooniaorkester; otsa; klaverikontsert; reimann; prelüüd; följeton; tants
