EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,9,9,9,9,9,9,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
9,9,9,9,9,9,9,9,9,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
9,9,9,9,9,9,9,9,9,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
9,9,9,9,9,9,9,9,9,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
9,9,9,9,9,9,9,9,9,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
9,9,9,9,9,9,9,9,9,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
9,9,9,9,9,9,9,9,9,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
9,9,9,9,9,9,9,9,9,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
9,9,9,9,9,9,9,9,9,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
9,9,9,9,9,9,9,9,9,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
9,9,9,9,9,9,9,9,9,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
