EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,6,4,1,3,5,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,7,6,6,4,1,3,6,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,7,6,6,4,1,3,6,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,7,6,6,3,1,3,6,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
5,7,6,6,4,1,5,7,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
5,6,6,6,3,3,4,6,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,6,3,7,4,4,4,6,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,6,4,7,4,5,4,4,6,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
7,6,5,4,5,4,6,6,6,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,5,6,4,3,6,5,5,6,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,5,4,4,4,5,5,5,6,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
