EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,10,9,6,4,4,7,5,8,11,üliintellekt; teadus; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
7,10,9,6,4,5,6,6,8,11,üliintellekt; teadus; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
8,9,8,6,6,5,6,6,8,11,üliintellekt; teadus; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
9,9,7,6,7,5,5,7,8,11,üliintellekt; teadus; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
7,9,7,4,5,6,6,6,8,11,üliintellekt; teadus; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
5,10,6,4,5,7,9,6,7,11,üliintellekt; teadus; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
8,8,6,6,5,8,5,5,7,11,üliintellekt; teadus; püha; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; usutunne; religioon; sekularism
4,7,7,5,5,6,4,5,7,11,teadus; üliintellekt; püha; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; usutunne; religioon; sekularism
3,9,6,7,4,8,5,8,6,11,teadus; üliintellekt; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
5,8,9,6,6,7,5,5,7,11,teadus; üliintellekt; püha; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; usutunne; religioon; sekularism
3,6,5,5,7,8,5,3,6,11,teadus; üliintellekt; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
