EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,8,6,5,7,8,8,6,14,tehnoloogia; kristjan; port; pakkuja; kodanik; pedofiilia; poliitik; kommentaar
7,8,8,6,5,7,8,8,6,14,tehnoloogia; kristjan; port; pakkuja; kodanik; pedofiilia; poliitik; kommentaar
7,8,8,6,5,7,8,8,6,14,tehnoloogia; kristjan; port; pakkuja; kodanik; pedofiilia; poliitik; kommentaar
7,7,8,6,6,7,8,8,6,14,tehnoloogia; kristjan; port; pakkuja; kodanik; pedofiilia; poliitik; kommentaar
7,7,8,7,8,7,8,8,6,14,tehnoloogia; kristjan; port; pakkuja; kodanik; pedofiilia; poliitik; kommentaar
6,7,8,7,8,7,8,8,7,14,tehnoloogia; kristjan; port; pakkuja; kodanik; pedofiilia; poliitik; kommentaar
6,8,8,7,8,8,8,8,6,14,tehnoloogia; kristjan; port; pakkuja; kodanik; pedofiilia; poliitik; kommentaar
8,8,8,8,8,8,8,8,7,14,tehnoloogia; kristjan; port; pakkuja; kodanik; pedofiilia; poliitik; kommentaar
7,8,8,8,8,8,8,8,7,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
8,8,8,8,8,8,8,8,8,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
7,8,8,8,8,8,8,8,8,14,tehnoloogia; kristjan; port; pakkuja; kommentaar; pedofiilia; poliitik; kodanik
