EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,7,7,8,8,8,8,8,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
8,8,7,7,8,8,8,8,8,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
8,8,8,8,8,8,8,8,8,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
8,8,8,8,8,8,8,8,8,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
8,8,8,8,8,8,8,8,8,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
8,8,8,7,8,8,8,8,8,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
8,8,8,7,8,8,8,8,8,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
8,8,8,8,8,8,8,8,8,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
8,8,8,8,8,8,8,8,8,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
7,7,8,8,8,8,8,8,8,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
7,7,8,8,8,8,8,8,8,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
