EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,3,3,2,2,3,4,6,12,chachapoyas; muumia; päike; ink; poeg; surnu; ant; kindlus; linn
6,5,3,2,2,4,3,5,6,12,chachapoyas; muumia; päike; ink; poeg; surnu; ant; kindlus; linn
7,5,4,2,2,4,4,6,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
8,5,4,2,3,4,3,7,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
8,6,5,2,3,4,4,7,6,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
8,6,4,3,3,6,6,6,7,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
7,5,4,5,4,6,7,6,7,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
7,5,7,8,5,7,8,7,7,12,chachapoyas; muumia; päike; ink; poeg; surnu; ant; kindlus; linn
6,5,7,9,7,7,7,7,8,12,chachapoyas; muumia; päike; ink; poeg; surnu; ant; kindlus; linn
7,5,7,9,8,7,7,7,8,12,chachapoyas; muumia; päike; ink; poeg; surnu; ant; kindlus; linn
5,4,6,9,8,7,7,7,8,12,chachapoyas; päike; muumia; ink; poeg; surnu; ant; kindlus; linn
