EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,4,6,4,4,4,8,8,13,suvi; boriss; sõjalennuk; leho; õudusjutt; kont; saladus; onn; käsi; kamp
5,6,4,6,4,4,3,8,7,13,suvi; boriss; sõjalennuk; leho; õudusjutt; kont; saladus; onn; käsi; kamp
6,7,4,6,4,4,6,8,8,13,suvi; boriss; sõjalennuk; leho; õudusjutt; kont; käsi; onn; saladus; kamp
6,7,4,6,4,4,6,8,7,13,suvi; boriss; sõjalennuk; leho; õudusjutt; kont; käsi; onn; saladus; kamp
6,8,5,6,4,4,7,8,7,13,suvi; boriss; sõjalennuk; leho; õudusjutt; kont; käsi; onn; saladus; kamp
8,7,6,7,4,7,9,7,7,13,suvi; boriss; leho; kont; onn; sõjalennuk; õudusjutt; saladus; käsi; kamp
9,7,9,7,4,8,9,10,6,13,suvi; boriss; leho; kont; onn; sõjalennuk; õudusjutt; käsi; saladus; kamp
8,8,7,9,5,8,7,8,7,13,suvi; boriss; leho; kont; onn; sõjalennuk; õudusjutt; käsi; saladus; kamp
7,7,9,7,6,8,8,8,7,13,suvi; boriss; sõjalennuk; leho; õudusjutt; kont; saladus; onn; käsi; kamp
7,8,7,8,6,9,7,8,7,13,suvi; boriss; leho; kont; onn; sõjalennuk; õudusjutt; käsi; saladus; kamp
7,7,9,8,7,8,7,8,7,13,suvi; boriss; leho; kont; onn; sõjalennuk; õudusjutt; käsi; saladus; kamp
