EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,1,3,3,2,2,6,6,13,kohus; harry; usa; tony; swedbank; koalitsioon; blair; res
5,3,2,3,3,2,2,7,6,13,kohus; harry; usa; tony; swedbank; koalitsioon; blair; res
5,3,2,4,3,2,2,8,6,13,kohus; harry; usa; tony; swedbank; koalitsioon; blair; res
4,3,4,4,2,2,3,8,6,13,kohus; harry; usa; tony; swedbank; koalitsioon; blair; res
4,4,5,4,4,4,4,8,6,13,kohus; harry; usa; tony; swedbank; koalitsioon; blair; res
4,4,4,6,4,7,6,8,6,13,kohus; harry; usa; tony; swedbank; koalitsioon; blair; res
7,6,5,6,5,7,6,8,6,13,kohus; harry; usa; tony; swedbank; koalitsioon; blair; res
6,5,6,7,7,7,6,8,6,13,kohus; harry; usa; tony; swedbank; koalitsioon; blair; res
6,6,7,8,8,7,6,7,5,13,kohus; harry; usa; tony; swedbank; koalitsioon; blair; res
6,7,7,8,8,7,6,7,5,13,kohus; harry; usa; tony; swedbank; koalitsioon; blair; res
4,7,7,8,8,7,7,7,5,13,kohus; harry; usa; tony; swedbank; koalitsioon; blair; res
