EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,5,7,3,5,5,6,6,13,põgenik; süüria; regi; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
7,5,5,6,3,5,4,6,6,13,põgenik; süüria; regi; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
7,5,5,6,3,6,5,5,6,13,põgenik; süüria; regi; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
8,5,7,7,4,6,4,5,6,13,põgenik; süüria; regi; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
9,5,7,6,4,6,7,6,6,13,põgenik; regi; süüria; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
9,5,8,7,4,6,8,6,6,13,põgenik; regi; süüria; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
8,5,8,8,5,7,7,6,6,13,põgenik; süüria; regi; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
6,4,9,7,7,7,8,7,6,13,põgenik; süüria; regi; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
7,6,8,7,6,7,7,7,6,13,põgenik; süüria; regi; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
6,6,8,7,6,7,7,7,6,13,põgenik; süüria; regi; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
7,5,7,7,8,6,7,7,6,13,põgenik; süüria; regi; eurovisioon; eesti; keel; hobune; kreeka; tolmeldaja
