EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,4,8,3,4,6,8,5,12,hõff; gruusia; eelarve; jaapan; regilaud; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
7,9,5,8,3,4,6,9,5,12,hõff; gruusia; eelarve; jaapan; regilaud; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
7,9,5,8,3,6,5,9,5,12,hõff; gruusia; eelarve; jaapan; regilaud; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
8,9,6,8,3,7,5,10,5,12,hõff; gruusia; eelarve; jaapan; regilaud; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
7,9,8,8,3,8,6,10,5,12,hõff; gruusia; eelarve; jaapan; regilaud; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
8,8,9,7,3,9,8,10,6,12,hõff; gruusia; eelarve; regilaud; jaapan; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
9,7,9,8,5,8,7,10,5,12,hõff; gruusia; eelarve; regilaud; jaapan; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
6,10,8,7,6,8,6,6,7,12,hõff; gruusia; eelarve; regilaud; jaapan; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
5,9,7,8,6,9,6,6,7,12,hõff; gruusia; eelarve; regilaud; jaapan; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
3,8,7,8,7,9,7,6,7,12,hõff; gruusia; eelarve; regilaud; jaapan; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
2,7,8,8,7,7,4,8,8,12,hõff; gruusia; eelarve; regilaud; jaapan; isamaa; euroopa; sammas; pevkur; hanno; haigekassa
