EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,7,9,7,7,8,9,8,14,maja; tomusk; pood; tuba; ilmar; isik; uus; martin; kõrvaline
9,8,9,9,7,7,8,9,8,14,maja; tomusk; pood; tuba; ilmar; isik; uus; martin; kõrvaline
9,8,9,9,7,8,8,9,8,14,maja; tomusk; pood; tuba; ilmar; isik; uus; martin; kõrvaline
9,8,9,9,7,9,8,9,8,14,maja; tomusk; pood; tuba; ilmar; isik; uus; martin; kõrvaline
9,9,9,9,7,9,9,9,9,14,maja; tomusk; pood; tuba; ilmar; isik; uus; martin; kõrvaline
9,9,9,9,9,9,9,9,9,14,maja; tomusk; pood; tuba; ilmar; isik; uus; martin; kõrvaline
9,9,9,9,9,9,9,9,9,14,maja; tomusk; pood; tuba; isik; ilmar; uus; martin; kõrvaline
9,9,9,9,9,9,9,9,9,14,maja; tomusk; pood; tuba; ilmar; isik; uus; martin; kõrvaline
9,9,9,9,9,9,9,9,9,14,maja; tomusk; pood; tuba; ilmar; isik; uus; martin; kõrvaline
8,9,9,9,8,9,9,9,8,14,maja; pood; tuba; ilmar; isik; tomusk; uus; martin; kõrvaline
8,9,9,9,9,9,9,9,8,14,maja; pood; tuba; ilmar; isik; tomusk; uus; martin; kõrvaline
