EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,3,7,3,4,4,6,3,13,puhkus; julgus; vastuvõtt; tindur; moekunstnik; liivia; president; haapsalu; muusika; vaimuinimene
6,6,5,7,3,6,4,6,5,13,puhkus; julgus; vastuvõtt; tindur; moekunstnik; liivia; president; haapsalu; muusika; vaimuinimene
6,6,5,7,3,6,4,6,5,13,puhkus; julgus; vastuvõtt; tindur; moekunstnik; liivia; president; haapsalu; muusika; vaimuinimene
6,6,4,7,3,7,5,7,5,13,puhkus; julgus; vastuvõtt; tindur; moekunstnik; liivia; president; haapsalu; muusika; vaimuinimene
7,4,4,6,3,5,5,7,5,13,puhkus; julgus; vastuvõtt; tindur; moekunstnik; liivia; president; haapsalu; muusika; vaimuinimene
5,6,5,7,5,5,8,7,4,13,puhkus; julgus; moekunstnik; tindur; vastuvõtt; liivia; president; haapsalu; muusika; vaimuinimene
6,6,5,9,5,6,4,7,5,13,puhkus; julgus; moekunstnik; tindur; vastuvõtt; liivia; president; muusika; haapsalu; vaimuinimene
4,5,7,7,7,6,9,7,4,13,puhkus; julgus; vastuvõtt; tindur; liivia; vaimuinimene; moekunstnik; president; haapsalu; muusika
4,6,9,7,7,7,6,8,6,13,puhkus; julgus; moekunstnik; tindur; vastuvõtt; liivia; president; muusika; haapsalu; vaimuinimene
2,5,7,7,7,8,4,9,5,13,puhkus; julgus; vastuvõtt; tindur; liivia; vaimuinimene; moekunstnik; president; haapsalu; muusika
2,5,7,7,7,6,4,8,6,13,puhkus; julgus; moekunstnik; tindur; vastuvõtt; liivia; president; muusika; haapsalu; vaimuinimene
