EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,11,12,12,12,12,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
12,12,12,12,12,12,12,12,12,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
