EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,8,6,5,9,8,8,7,13,lauljatar; grammy; emilio; gloria; stefan; artist; ballaad; estefan; kuub; crossover
7,8,8,6,5,9,7,8,6,13,lauljatar; grammy; emilio; gloria; stefan; artist; ballaad; estefan; kuub; crossover
7,8,7,6,6,9,7,7,6,13,lauljatar; grammy; emilio; gloria; stefan; artist; ballaad; estefan; kuub; crossover
7,8,8,6,6,9,9,7,6,13,lauljatar; grammy; emilio; kuub; gloria; stefan; artist; ballaad; estefan; crossover
7,7,7,6,8,9,9,7,6,13,lauljatar; grammy; emilio; kuub; gloria; stefan; artist; ballaad; estefan; crossover
8,7,7,6,8,8,8,8,6,13,lauljatar; grammy; emilio; gloria; stefan; artist; ballaad; estefan; kuub; crossover
6,7,6,6,8,8,8,8,7,13,lauljatar; grammy; emilio; gloria; stefan; artist; ballaad; estefan; kuub; crossover
7,10,4,6,7,8,7,8,8,13,lauljatar; grammy; emilio; kuub; gloria; stefan; artist; estefan; ballaad; crossover
6,8,7,6,8,6,8,7,7,13,lauljatar; grammy; emilio; gloria; stefan; artist; estefan; ballaad; kuub; crossover
5,7,5,6,8,7,8,6,7,13,lauljatar; grammy; emilio; gloria; stefan; artist; ballaad; estefan; kuub; crossover
6,8,5,6,7,6,7,7,7,13,lauljatar; grammy; emilio; gloria; stefan; artist; estefan; ballaad; kuub; crossover
