EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,5,7,6,9,5,8,8,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
9,8,5,8,6,9,6,8,7,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
9,9,6,8,6,7,7,8,7,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
9,8,6,9,6,6,7,9,8,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
9,8,8,9,6,7,7,10,9,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
11,7,8,10,6,6,7,11,9,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
8,8,9,9,8,6,10,10,10,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
8,7,10,8,8,7,9,10,9,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
7,7,11,7,8,8,10,11,8,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
9,9,11,6,7,8,9,10,8,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
8,9,11,6,9,9,9,8,8,11,olümpia; paide; male; võistkond; paul; partii; naiskond; treener; maleklubi; kere; maleföderatsioon
