EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,3,3,1,1,1,4,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
5,5,3,3,1,1,1,4,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
5,5,2,3,2,1,1,5,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
6,5,2,4,3,1,4,5,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
6,4,5,4,3,3,5,3,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
5,4,5,4,4,4,5,3,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
2,2,5,5,5,3,4,4,3,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
3,4,5,5,5,5,4,6,3,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
4,5,4,5,5,5,5,6,2,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
3,5,5,5,5,3,3,5,3,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
3,6,4,5,5,3,4,5,4,14,porto; portugal; madeira; bassein; mägi; loodus; kalju
