EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,4,3,5,4,4,4,2,12,eesti; mõtlemine; keel; tõlkima; hägusus; süsteem
5,4,4,3,5,4,4,4,2,12,eesti; mõtlemine; keel; tõlkima; hägusus; süsteem
5,4,4,3,5,4,4,4,2,12,eesti; mõtlemine; keel; tõlkima; hägusus; süsteem
4,4,5,3,4,4,3,4,2,12,eesti; mõtlemine; keel; tõlkima; hägusus; süsteem
5,4,3,3,4,4,4,4,2,12,eesti; mõtlemine; keel; tõlkima; hägusus; süsteem
3,4,5,3,4,5,5,4,2,12,süsteem; eesti; mõtlemine; tõlkima; hägusus; keel
3,3,3,3,3,5,5,3,2,12,eesti; mõtlemine; tõlkima; keel; hägusus; süsteem
3,3,3,3,4,3,4,5,2,12,eesti; mõtlemine; tõlkima; keel; hägusus; süsteem
3,3,3,3,4,4,4,5,2,12,eesti; mõtlemine; tõlkima; keel; hägusus; süsteem
3,4,3,3,3,3,4,4,2,12,eesti; mõtlemine; tõlkima; keel; hägusus; süsteem
3,3,3,4,4,3,4,4,2,12,süsteem; eesti; mõtlemine; tõlkima; hägusus; keel
