EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,7,6,8,5,7,7,8,10,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
11,8,7,8,5,7,8,8,10,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
11,8,10,8,5,8,8,9,10,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
12,6,10,10,4,9,8,10,10,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
10,7,11,10,4,10,8,10,10,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
9,7,10,9,4,11,9,12,10,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
8,6,11,10,6,8,11,12,11,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
9,9,9,8,7,11,10,9,10,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
8,7,11,9,8,11,10,10,11,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
8,6,11,8,7,11,12,7,11,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
8,7,9,7,8,8,10,8,11,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
