EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,7,7,9,1,7,6,7,7,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
4,7,7,9,1,7,6,7,7,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
4,7,7,9,2,8,7,7,7,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
5,9,8,9,2,8,7,8,7,12,keskkonnarikkumine; klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,9,10,9,2,7,8,9,7,12,keskkonnarikkumine; klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,8,8,8,3,8,9,10,7,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,8,9,10,4,7,9,10,7,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
7,5,8,7,7,8,10,11,8,12,keskkonnarikkumine; klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
9,8,8,7,7,7,7,10,8,12,keskkonnarikkumine; klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
6,6,8,7,8,8,10,9,6,12,keskkonnarikkumine; klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
8,6,7,7,8,6,7,9,5,12,keskkonnarikkumine; klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
