EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,8,7,3,7,8,6,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
8,10,9,7,2,8,8,7,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
8,10,11,7,2,8,8,7,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
7,10,10,7,3,9,8,9,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
8,9,10,7,3,9,9,9,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
8,9,9,7,3,9,10,9,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
8,9,10,7,3,9,8,11,7,13,teehooldetöö; varimajandus; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
3,10,11,6,3,10,9,9,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
3,7,9,6,4,9,7,9,7,13,varimajandus; teehooldetöö; kütusemüüja; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
7,9,10,5,5,10,9,9,9,13,varimajandus; kütusemüüja; teehooldetöö; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
7,8,10,5,5,8,9,8,8,13,varimajandus; kütusemüüja; teehooldetöö; avo; tagatisraha; viisavaba; erakond; lennuõnnetus; sõidusoodustus; režiim; rahastamine
