EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,6,5,6,5,5,5,16,kontsert; dirigent; ungari; partok; serenaa; torm; publik; tõnu
4,4,4,6,5,5,5,4,5,16,kontsert; dirigent; ungari; partok; serenaa; torm; publik; tõnu
4,6,3,6,5,6,4,4,5,16,kontsert; dirigent; ungari; partok; serenaa; torm; publik; tõnu
4,6,4,6,5,6,6,4,5,16,kontsert; dirigent; ungari; partok; serenaa; torm; publik; tõnu
4,6,6,6,6,6,6,6,5,16,kontsert; dirigent; ungari; partok; serenaa; torm; publik; tõnu
5,5,6,6,6,5,6,5,4,16,kontsert; dirigent; ungari; torm; serenaa; partok; publik; tõnu
5,5,6,8,8,6,5,7,4,16,kontsert; dirigent; ungari; torm; serenaa; partok; publik; tõnu
5,6,6,7,7,5,6,6,5,16,kontsert; dirigent; partok; torm; ungari; serenaa; publik; tõnu
4,4,6,7,8,5,7,8,5,16,kontsert; dirigent; ungari; partok; serenaa; torm; publik; tõnu
4,4,8,7,8,3,5,8,5,16,kontsert; dirigent; partok; ungari; serenaa; torm; publik; tõnu
5,3,6,7,8,3,5,6,6,16,kontsert; dirigent; partok; ungari; serenaa; torm; publik; tõnu
