EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
15,13,5,8,8,7,5,8,12,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
15,12,5,8,8,7,5,8,12,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
15,13,7,8,8,7,6,9,12,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
15,13,11,8,9,7,7,9,12,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
13,13,12,9,10,8,7,8,12,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
12,14,12,9,12,8,9,10,13,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
10,14,11,10,12,10,12,11,13,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
8,13,12,11,12,9,8,13,11,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
8,9,11,12,12,11,13,13,12,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
7,8,12,12,11,11,9,12,11,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
6,9,11,12,12,10,12,11,10,21,meisterjaan; alter; dragons; and; two; festival; roll; erki; rock; raadio; eurosonic; the; kaks; holland; soonik
