EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,8,6,2,7,6,8,6,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,9,8,6,2,7,6,8,6,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,9,8,7,2,7,6,9,6,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,9,8,6,2,8,6,9,6,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,9,9,6,3,8,6,9,6,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
10,10,7,6,3,9,4,10,6,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
8,9,10,6,4,8,4,9,6,11,lilleäri; perekond; näitleja; laulukoor; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
8,8,8,8,5,6,6,10,6,11,lilleäri; perekond; näitleja; laulukoor; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,8,8,7,5,8,8,10,7,11,lilleäri; perekond; näitleja; laulukoor; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,8,7,6,6,8,7,11,6,11,lilleäri; perekond; näitleja; laulukoor; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
8,7,7,8,6,7,7,10,7,11,lilleäri; perekond; näitleja; laulukoor; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
