EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,7,4,8,4,6,9,8,7,15,nukuteater; vain; kultus; draama; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
10,7,5,9,4,6,9,8,7,15,nukuteater; vain; kultus; draama; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
9,8,8,9,4,7,9,9,7,15,nukuteater; vain; kultus; draama; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
9,8,7,9,5,7,9,9,7,15,nukuteater; vain; kultus; draama; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
8,7,8,9,6,8,7,9,6,15,nukuteater; vain; kultus; draama; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
9,6,8,8,6,8,7,10,6,15,nukuteater; vain; kultus; draama; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
7,6,8,7,6,8,7,7,7,15,nukuteater; vain; kultus; draama; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
6,9,8,7,8,7,6,9,6,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
6,7,8,8,9,6,5,9,7,15,nukuteater; vain; kultus; draama; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
7,7,9,8,8,6,6,8,6,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
7,7,8,8,9,5,4,7,7,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
