EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,9,6,7,4,6,7,7,5,11,raamat; lähedus; kirjanik; furby; võõras; üksindus; olme; lavastus; urmas; vadi
5,9,6,7,4,6,7,7,5,11,raamat; lähedus; kirjanik; furby; võõras; üksindus; olme; lavastus; urmas; vadi
4,9,6,7,4,7,7,7,6,11,raamat; lähedus; kirjanik; võõras; furby; üksindus; olme; lavastus; urmas; vadi
5,9,7,7,4,6,5,7,7,11,raamat; lähedus; kirjanik; võõras; furby; üksindus; olme; lavastus; urmas; vadi
6,9,9,7,5,6,8,7,7,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
7,9,8,5,5,9,8,7,7,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
8,8,9,7,5,8,9,7,8,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
8,8,8,6,6,9,8,7,6,11,raamat; kirjanik; furby; urmas; lähedus; võõras; olme; üksindus; lavastus; vadi
9,9,10,7,6,9,7,8,7,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
9,8,10,6,5,9,8,9,9,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
7,7,10,6,5,9,8,8,7,11,raamat; kirjanik; furby; urmas; lähedus; võõras; üksindus; olme; lavastus; vadi
