EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,7,5,7,6,7,5,7,14,torn; ornament; uusgoot; stiil; park; paruness; loss; haar; holland; restaureerimistöö; muuseum
9,8,7,5,7,6,7,6,7,14,torn; ornament; uusgoot; stiil; park; paruness; loss; haar; holland; restaureerimistöö; muuseum
9,8,7,5,7,6,7,5,7,14,torn; ornament; uusgoot; stiil; park; paruness; loss; haar; holland; restaureerimistöö; muuseum
9,8,9,6,7,5,7,5,7,14,torn; park; paruness; loss; muuseum; ornament; uusgoot; stiil; haar; holland; restaureerimistöö
10,8,9,6,9,7,6,4,7,14,torn; park; paruness; loss; muuseum; ornament; uusgoot; stiil; haar; holland; restaureerimistöö
7,8,9,7,9,8,8,4,7,14,torn; park; paruness; loss; muuseum; ornament; uusgoot; stiil; haar; holland; restaureerimistöö
5,9,8,8,9,7,9,5,9,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
6,8,9,7,9,8,9,8,6,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
6,10,11,8,9,9,7,10,6,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
6,7,10,8,10,9,8,8,6,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
5,6,7,8,8,9,9,9,5,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
