EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,7,10,3,6,7,6,8,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
9,7,7,10,4,6,8,6,8,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
9,7,8,10,5,6,8,7,8,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
11,9,10,10,5,5,8,8,7,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
11,7,10,10,5,7,8,8,7,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
10,7,10,11,5,9,9,10,8,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
7,7,12,8,2,11,9,10,9,18,hans; isis; ülikool; konverents; hindper; jarmuk; kontsert; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
9,8,11,8,4,11,11,10,7,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
9,7,7,9,7,11,9,11,6,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
8,7,10,7,8,11,6,12,6,18,hans; isis; ülikool; konverents; hindper; jarmuk; kontsert; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
7,9,13,6,10,11,6,8,6,18,hans; isis; ülikool; konverents; hindper; jarmuk; kontsert; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
