EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,7,11,5,8,7,9,5,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
11,10,9,11,5,9,7,9,5,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
11,10,10,11,5,10,7,9,5,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
11,10,9,10,5,10,7,10,5,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
11,10,11,10,5,10,7,11,5,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
11,9,11,10,5,9,10,11,5,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
9,10,10,10,6,9,7,11,6,13,pianiino; kontsertklaver; falck; eesti; klavessiin; klaverimeister; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
8,8,10,10,6,9,8,8,7,13,pianiino; kontsertklaver; falck; eesti; klaverimeister; klavessiin; radke; klaverivabrik; muusikamuuseum; klaveriehitus; christoph
7,9,7,9,7,8,8,7,6,13,pianiino; kontsertklaver; falck; eesti; klavessiin; klaverivabrik; radke; klaverimeister; muusikamuuseum; klaveriehitus; christoph
8,7,8,8,8,7,7,7,8,13,pianiino; kontsertklaver; falck; eesti; klaverivabrik; klavessiin; radke; klaverimeister; muusikamuuseum; klaveriehitus; christoph
4,7,7,8,8,5,6,7,7,13,pianiino; kontsertklaver; falck; eesti; klaverivabrik; klaverimeister; klavessiin; radke; muusikamuuseum; klaveriehitus; christoph
