EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,2,5,4,5,3,2,3,11,kutsikas; murdma; ulg; territoorium; alfa; hunt; kari
3,2,2,5,4,5,3,2,3,11,kutsikas; murdma; ulg; territoorium; alfa; hunt; kari
3,2,3,5,4,5,3,2,3,11,kutsikas; murdma; ulg; territoorium; alfa; hunt; kari
3,1,4,5,5,5,2,2,3,11,kutsikas; murdma; ulg; territoorium; alfa; hunt; kari
2,2,5,5,5,6,2,3,3,11,kutsikas; murdma; ulg; territoorium; alfa; hunt; kari
5,3,4,4,6,7,6,3,3,11,kutsikas; murdma; ulg; territoorium; alfa; hunt; kari
4,4,2,5,6,4,4,5,3,11,kutsikas; murdma; ulg; territoorium; alfa; hunt; kari
5,3,5,6,5,5,4,4,6,11,murdma; kutsikas; ulg; territoorium; alfa; hunt; kari
4,6,4,6,4,5,4,6,5,11,kutsikas; murdma; ulg; territoorium; alfa; kari; hunt
3,6,3,6,6,4,4,7,6,11,murdma; kutsikas; ulg; territoorium; alfa; hunt; kari
5,5,3,6,6,4,5,5,6,11,kutsikas; murdma; ulg; territoorium; alfa; hunt; kari
