EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,4,8,5,5,6,6,7,11,kunst; rahvatants; jüri; juur; kirjandus; tallinn; tartu; arrak
8,8,6,8,5,5,6,5,7,11,kunst; rahvatants; jüri; juur; kirjandus; tallinn; tartu; arrak
8,8,6,8,5,5,7,5,7,11,kunst; rahvatants; jüri; juur; kirjandus; tallinn; tartu; arrak
8,7,5,8,5,7,7,5,7,11,kunst; rahvatants; jüri; juur; kirjandus; tallinn; tartu; arrak
7,7,6,8,6,7,8,6,7,11,kunst; rahvatants; jüri; juur; kirjandus; tallinn; tartu; arrak
7,7,7,7,6,7,7,6,7,11,kunst; rahvatants; jüri; juur; kirjandus; tallinn; tartu; arrak
7,7,7,8,6,7,8,6,7,11,kunst; rahvatants; jüri; kirjandus; tallinn; juur; tartu; arrak
7,7,7,8,7,8,8,8,6,11,kunst; rahvatants; jüri; juur; kirjandus; tallinn; tartu; arrak
7,7,7,8,8,8,8,8,7,11,kunst; rahvatants; jüri; juur; kirjandus; tallinn; tartu; arrak
5,7,8,8,6,8,8,7,7,11,kunst; rahvatants; jüri; juur; tallinn; kirjandus; tartu; arrak
5,7,8,8,6,8,8,8,8,11,kunst; rahvatants; jüri; juur; tallinn; kirjandus; tartu; arrak
