EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,12,8,8,10,9,11,6,18,kommentaar; port; thomas; tehnoloogia; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; võrgustik
8,8,12,8,8,11,9,11,6,18,kommentaar; port; thomas; tehnoloogia; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; võrgustik
8,7,12,8,9,11,9,11,6,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
8,8,11,8,9,11,10,11,6,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
10,7,11,8,11,11,11,12,7,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
10,6,11,10,11,11,11,12,8,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
11,6,12,9,11,12,12,12,8,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
11,8,12,12,12,12,12,12,9,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
10,8,11,12,12,12,12,12,8,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
9,7,11,11,12,12,12,12,10,18,kommentaar; port; thomas; tehnoloogia; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; võrgustik
9,9,11,11,12,12,12,12,11,18,kommentaar; port; thomas; tehnoloogia; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; võrgustik
