EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,5,7,7,6,7,10,3,18,performance; mood; kollektsioon; pelis; disainer; paju; moeetendus; anatoomikum; tants; lavastaja; kõrgem
7,7,5,7,7,6,7,10,3,18,performance; mood; kollektsioon; pelis; disainer; paju; moeetendus; anatoomikum; tants; lavastaja; kõrgem
7,7,6,7,7,6,7,9,3,18,performance; mood; kollektsioon; pelis; disainer; paju; moeetendus; anatoomikum; tants; lavastaja; kõrgem
7,7,6,7,7,6,7,8,3,18,performance; mood; kollektsioon; pelis; disainer; paju; moeetendus; anatoomikum; tants; lavastaja; kõrgem
8,7,6,7,7,6,6,8,3,18,performance; mood; kollektsioon; pelis; disainer; paju; moeetendus; anatoomikum; tants; lavastaja; kõrgem
7,7,6,5,7,6,7,7,3,18,disainer; paju; pelis; moeetendus; lavastaja; anatoomikum; performance; mood; tants; kollektsioon; kõrgem
7,9,8,6,8,8,8,8,3,18,performance; mood; kollektsioon; pelis; disainer; paju; moeetendus; anatoomikum; tants; lavastaja; kõrgem
8,9,8,8,8,7,7,10,1,18,performance; mood; kollektsioon; pelis; disainer; paju; moeetendus; anatoomikum; tants; lavastaja; kõrgem
6,9,9,8,8,9,7,9,2,18,performance; mood; kollektsioon; pelis; disainer; paju; moeetendus; anatoomikum; tants; lavastaja; kõrgem
6,9,7,8,8,8,9,8,1,18,performance; mood; kollektsioon; pelis; disainer; paju; moeetendus; anatoomikum; tants; lavastaja; kõrgem
5,8,7,8,9,10,8,9,2,18,performance; mood; kollektsioon; pelis; disainer; paju; moeetendus; anatoomikum; tants; lavastaja; kõrgem
