EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,8,7,3,5,8,11,7,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
6,6,8,7,3,5,8,11,7,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
6,6,8,7,3,5,8,11,7,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
7,6,7,7,3,6,8,11,7,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
7,6,9,7,4,10,9,10,7,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
7,7,10,9,4,9,8,11,7,13,tsensuur; elken; kunstimaailm; kunst; näitus; formaat; meedia; eesti; marco; kunstiakadeemia; jaan
10,7,10,11,4,10,5,11,7,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
6,9,9,9,5,9,7,10,8,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
4,8,7,9,6,7,8,9,9,13,tsensuur; elken; kunstimaailm; kunst; näitus; formaat; meedia; eesti; marco; kunstiakadeemia; jaan
5,7,6,9,7,7,7,9,9,13,tsensuur; elken; kunstimaailm; kunst; näitus; formaat; meedia; eesti; marco; kunstiakadeemia; jaan
6,8,7,9,7,7,6,10,9,13,tsensuur; elken; kunstimaailm; kunst; näitus; formaat; meedia; eesti; marco; kunstiakadeemia; jaan
