EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,1,3,2,3,6,6,6,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
8,6,3,4,2,3,6,6,6,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
9,6,3,4,3,5,6,6,7,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
9,6,5,4,4,7,8,6,7,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
8,6,5,6,5,8,8,6,7,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
8,6,6,6,7,8,7,6,7,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
6,7,6,9,8,9,6,8,8,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
5,7,8,7,8,7,3,7,6,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
5,6,7,7,8,5,3,6,6,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
5,4,7,7,8,6,4,6,6,14,bismarck; müür; wilhelm; von; otto; kurferstendam; brandenburg; friedrich; monumentalism; berliin
5,8,6,7,7,6,4,9,6,14,bismarck; müür; von; otto; kurferstendam; brandenburg; wilhelm; friedrich; monumentalism; berliin
