EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,7,4,5,4,6,6,7,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,6,7,5,5,4,6,6,7,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,6,7,5,6,4,7,7,7,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,6,7,5,6,6,7,7,7,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,6,7,5,6,7,7,7,7,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,6,7,6,6,7,7,7,6,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,6,7,7,5,7,7,7,6,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,6,7,7,5,7,7,7,6,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,6,7,7,5,7,7,7,6,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,7,7,7,6,7,7,7,6,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,7,7,7,7,7,7,7,6,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
