EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,5,9,1,11,12,9,12,16,eino; kuusk; tamberg; keel; ooper; kuusik; ivo; wagner; mai; ballett; estonia; teater; itaalia
7,5,6,8,1,12,12,10,12,16,eino; kuusk; tamberg; keel; ooper; kuusik; ivo; wagner; mai; ballett; estonia; teater; itaalia
7,4,7,8,1,12,12,9,12,16,eino; kuusk; tamberg; keel; ooper; kuusik; ivo; wagner; mai; ballett; estonia; teater; itaalia
7,5,8,9,1,12,12,9,12,16,eino; kuusk; tamberg; keel; ooper; kuusik; ivo; wagner; mai; ballett; estonia; teater; itaalia
7,6,10,9,1,12,11,11,12,16,eino; kuusk; tamberg; keel; ooper; kuusik; ivo; wagner; mai; ballett; estonia; teater; itaalia
9,6,9,9,4,11,11,10,12,16,eino; kuusk; tamberg; keel; ooper; kuusik; ivo; wagner; mai; ballett; estonia; teater; itaalia
9,6,10,10,7,9,10,13,12,16,eino; kuusk; tamberg; keel; ooper; kuusik; ivo; wagner; mai; estonia; ballett; itaalia; teater
9,7,11,9,10,11,10,10,11,16,eino; kuusk; tamberg; keel; ooper; kuusik; ivo; mai; wagner; ballett; estonia; itaalia; teater
8,7,10,10,8,12,9,11,11,16,eino; kuusk; tamberg; keel; ooper; kuusik; ivo; mai; wagner; estonia; ballett; itaalia; teater
5,8,10,11,7,7,10,8,11,16,eino; kuusk; tamberg; keel; ooper; kuusik; ivo; mai; wagner; estonia; ballett; itaalia; teater
4,8,12,11,11,8,8,9,8,16,eino; kuusk; tamberg; keel; ooper; kuusik; ivo; mai; wagner; estonia; ballett; itaalia; teater
