EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,8,8,3,6,9,9,5,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
10,8,8,8,3,7,9,8,5,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
10,8,7,8,4,9,9,8,5,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
10,7,8,8,4,8,8,8,5,11,sport; naisoboemängija; saksamaa; orkester; repertuaar; klassikatäht; inglissarv; ingeli; oboe; muusikakeskkool
9,7,7,8,4,9,7,8,5,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
8,8,8,9,4,10,7,10,6,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
8,8,8,10,6,10,9,9,7,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
7,9,8,8,7,10,9,10,7,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
7,9,8,7,9,10,9,9,8,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
7,9,9,7,8,9,9,10,8,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
6,8,8,7,8,10,10,10,7,11,naisoboemängija; inglissarv; sport; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
