EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,4,3,2,3,4,5,3,13,aivar; muusika; alternatiiv; elektrooniline; narkootikum; tõnson; sotsioloog; popkultuur; reiv
6,6,5,2,2,3,4,5,3,13,aivar; muusika; alternatiiv; elektrooniline; narkootikum; tõnson; sotsioloog; popkultuur; reiv
6,6,5,2,2,4,3,6,3,13,aivar; muusika; alternatiiv; elektrooniline; narkootikum; tõnson; sotsioloog; popkultuur; reiv
6,7,5,4,2,4,4,6,3,13,aivar; muusika; alternatiiv; elektrooniline; narkootikum; tõnson; sotsioloog; popkultuur; reiv
6,7,5,5,5,7,5,4,3,13,aivar; muusika; alternatiiv; elektrooniline; narkootikum; tõnson; sotsioloog; popkultuur; reiv
5,5,6,4,5,8,5,8,3,13,aivar; muusika; elektrooniline; alternatiiv; narkootikum; tõnson; sotsioloog; popkultuur; reiv
7,5,5,3,5,9,7,7,3,13,aivar; muusika; elektrooniline; alternatiiv; narkootikum; tõnson; sotsioloog; popkultuur; reiv
6,5,3,6,6,8,7,6,3,13,aivar; muusika; alternatiiv; elektrooniline; narkootikum; tõnson; sotsioloog; popkultuur; reiv
3,4,5,6,7,8,8,8,4,13,aivar; muusika; elektrooniline; alternatiiv; narkootikum; tõnson; sotsioloog; popkultuur; reiv
4,4,6,5,7,8,7,7,3,13,aivar; muusika; alternatiiv; elektrooniline; narkootikum; tõnson; sotsioloog; popkultuur; reiv
4,5,5,5,5,7,6,8,3,13,aivar; muusika; elektrooniline; alternatiiv; narkootikum; tõnson; sotsioloog; popkultuur; reiv
