EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,8,7,8,5,6,10,9,11,m; lugu; ansambel; agent; album; stuudio; šokolaad; raadio; plaat; queen
10,9,8,7,8,6,6,10,9,11,m; lugu; ansambel; agent; album; stuudio; šokolaad; raadio; plaat; queen
10,10,8,7,8,6,8,10,9,11,m; lugu; ansambel; agent; album; stuudio; šokolaad; raadio; plaat; queen
10,10,9,7,8,9,8,10,9,11,m; lugu; ansambel; agent; album; stuudio; šokolaad; raadio; plaat; queen
10,10,9,7,9,9,9,10,9,11,m; lugu; ansambel; agent; album; stuudio; šokolaad; raadio; plaat; queen
10,10,10,9,9,10,9,10,10,11,m; lugu; ansambel; agent; album; stuudio; šokolaad; raadio; plaat; queen
10,10,10,10,9,10,9,10,10,11,m; lugu; ansambel; agent; album; stuudio; šokolaad; raadio; plaat; queen
9,9,10,10,9,10,10,10,10,11,m; lugu; ansambel; agent; album; stuudio; šokolaad; raadio; plaat; queen
8,10,10,10,10,10,10,10,10,11,m; lugu; ansambel; agent; album; stuudio; šokolaad; raadio; plaat; queen
8,10,10,10,10,10,10,10,10,11,m; lugu; ansambel; agent; album; stuudio; šokolaad; raadio; plaat; queen
8,10,10,10,9,10,10,10,10,11,m; lugu; ansambel; agent; album; stuudio; šokolaad; raadio; plaat; queen
