EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,5,6,2,3,2,4,5,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
7,9,4,6,2,2,3,4,5,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
7,8,6,5,3,2,3,4,5,13,rektor; mõisaproua; sidejaoskond; arenduskeskus; ülikool; majandusjuht; mõis; perekond; kursus; concordia; kolu
7,9,6,6,3,3,3,5,6,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
8,9,6,7,4,4,4,7,6,13,rektor; mõisaproua; sidejaoskond; arenduskeskus; ülikool; majandusjuht; mõis; perekond; kursus; concordia; kolu
9,9,8,9,4,6,5,7,6,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
6,8,10,10,4,5,5,7,7,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
7,8,8,9,5,8,6,8,8,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
9,8,11,8,7,7,7,8,8,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
7,7,8,8,7,9,6,6,6,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
6,8,9,8,8,8,10,10,7,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
