EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,8,6,3,2,4,5,3,6,12,aeg; kirik; kahekümnes; homoseksualism; aasta; jessenin; tervishoid; nõukogu; hügieen; propaganda
5,8,7,3,2,5,5,5,6,12,aeg; kirik; kahekümnes; homoseksualism; aasta; jessenin; tervishoid; nõukogu; hügieen; propaganda
5,8,8,3,2,6,6,5,6,12,aeg; kirik; kahekümnes; homoseksualism; aasta; jessenin; tervishoid; nõukogu; hügieen; propaganda
5,8,8,4,2,6,8,6,6,12,aeg; kirik; kahekümnes; homoseksualism; aasta; jessenin; tervishoid; nõukogu; hügieen; propaganda
6,8,8,3,2,9,8,7,6,12,aeg; kahekümnes; homoseksualism; nõukogu; kirik; aasta; jessenin; tervishoid; hügieen; propaganda
6,8,9,4,4,8,8,6,6,12,aeg; kirik; kahekümnes; homoseksualism; aasta; jessenin; tervishoid; nõukogu; hügieen; propaganda
7,9,6,6,5,6,7,6,6,12,aeg; kahekümnes; homoseksualism; nõukogu; kirik; aasta; jessenin; tervishoid; hügieen; propaganda
7,8,6,7,6,8,6,7,7,12,aeg; kirik; kahekümnes; homoseksualism; aasta; jessenin; tervishoid; nõukogu; hügieen; propaganda
6,7,6,8,6,9,7,4,6,12,aeg; kirik; kahekümnes; homoseksualism; aasta; jessenin; tervishoid; nõukogu; hügieen; propaganda
6,3,6,6,6,7,7,6,6,12,aeg; kirik; kahekümnes; homoseksualism; aasta; jessenin; tervishoid; nõukogu; hügieen; propaganda
6,4,6,6,6,6,6,5,6,12,aeg; kirik; kahekümnes; homoseksualism; aasta; jessenin; tervishoid; nõukogu; hügieen; propaganda
