EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,4,8,4,1,2,2,7,7,12,teadus; füüsika; ülikool; akadeemia; partisaniliikumine; hüpotees; lapsepõlv; naan; sõda; gustav; elustrateegia
8,4,8,4,1,2,3,7,7,12,teadus; füüsika; ülikool; akadeemia; partisaniliikumine; hüpotees; lapsepõlv; naan; sõda; gustav; elustrateegia
7,4,8,4,1,3,3,8,7,12,teadus; füüsika; ülikool; akadeemia; naan; lapsepõlv; sõda; gustav; partisaniliikumine; hüpotees; elustrateegia
7,5,8,5,1,4,4,8,8,12,teadus; füüsika; ülikool; akadeemia; naan; lapsepõlv; sõda; gustav; partisaniliikumine; hüpotees; elustrateegia
7,5,8,5,1,5,5,7,8,12,teadus; füüsika; ülikool; akadeemia; naan; lapsepõlv; sõda; gustav; partisaniliikumine; hüpotees; elustrateegia
7,6,7,5,1,6,6,9,8,12,teadus; füüsika; ülikool; naan; akadeemia; lapsepõlv; sõda; gustav; partisaniliikumine; hüpotees; elustrateegia
8,7,9,7,2,6,6,8,7,12,teadus; füüsika; ülikool; akadeemia; naan; lapsepõlv; sõda; gustav; hüpotees; partisaniliikumine; elustrateegia
4,5,8,7,5,6,6,8,7,12,teadus; füüsika; ülikool; akadeemia; naan; lapsepõlv; sõda; gustav; hüpotees; partisaniliikumine; elustrateegia
6,5,6,8,5,7,7,8,9,12,teadus; füüsika; ülikool; naan; akadeemia; lapsepõlv; sõda; gustav; hüpotees; partisaniliikumine; elustrateegia
4,4,8,8,6,6,6,9,9,12,teadus; füüsika; ülikool; akadeemia; naan; lapsepõlv; sõda; gustav; hüpotees; partisaniliikumine; elustrateegia
3,6,8,7,5,7,6,8,9,12,teadus; füüsika; ülikool; akadeemia; naan; lapsepõlv; sõda; gustav; hüpotees; partisaniliikumine; elustrateegia
