EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,6,8,4,3,5,8,4,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
8,8,7,8,5,3,5,8,4,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
8,7,7,8,5,3,5,8,4,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
8,7,8,8,5,3,5,7,4,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
7,7,8,8,5,2,4,7,4,11,veetöötlusjaam; veevärk; vesi; tervisehäire; hapnik; veevarustussüsteem; joogiveemäärus; raud; põhjaveekompleks; kvaliteet
7,7,8,8,5,3,7,7,4,11,veetöötlusjaam; veevärk; vesi; tervisehäire; hapnik; veevarustussüsteem; joogiveemäärus; raud; põhjaveekompleks; kvaliteet
6,9,8,8,4,4,6,6,4,11,veetöötlusjaam; veevärk; vesi; tervisehäire; hapnik; veevarustussüsteem; joogiveemäärus; raud; põhjaveekompleks; kvaliteet
9,8,7,7,3,7,6,8,4,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
8,7,6,7,4,6,5,7,4,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
8,6,6,7,4,6,5,8,5,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
6,4,5,8,4,7,5,8,5,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
