EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,6,9,9,5,5,4,7,6,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
12,6,10,9,5,5,4,7,6,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
12,6,10,8,5,5,4,7,6,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
12,6,8,8,5,7,5,8,6,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
11,6,7,8,3,8,8,8,5,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
10,6,9,7,5,7,9,9,6,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
7,6,10,5,5,7,10,5,7,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
5,5,8,5,5,9,9,6,7,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
3,5,9,6,4,10,8,10,5,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
3,6,8,7,3,9,8,4,6,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
3,5,8,7,5,9,8,8,7,13,laps; tütarlaps; bett; lesk; kurat; argus; alver; peegel; kool; mõrane; rätsep; arseenik
