EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,5,6,10,1,6,8,7,7,13,köler; ilus; fresko; lutsifer; villem; kirik; sakslane; stackelberg; kristus; eesti; kaarli
9,5,7,10,3,6,8,7,7,13,köler; ilus; fresko; lutsifer; villem; kirik; sakslane; stackelberg; kristus; eesti; kaarli
9,6,7,10,4,6,8,7,7,13,köler; ilus; fresko; lutsifer; villem; kirik; sakslane; stackelberg; kristus; eesti; kaarli
8,8,7,9,3,7,9,9,7,13,köler; ilus; fresko; lutsifer; villem; kirik; sakslane; stackelberg; kristus; eesti; kaarli
8,8,8,9,3,7,9,10,7,13,köler; ilus; fresko; lutsifer; villem; kirik; sakslane; stackelberg; kristus; eesti; kaarli
9,8,8,10,5,9,10,9,7,13,köler; ilus; fresko; lutsifer; villem; kirik; sakslane; stackelberg; kristus; eesti; kaarli
8,8,9,10,7,9,9,9,7,13,köler; ilus; fresko; lutsifer; kirik; villem; sakslane; stackelberg; kristus; eesti; kaarli
7,7,9,8,7,9,8,10,8,13,köler; ilus; fresko; kirik; villem; lutsifer; sakslane; stackelberg; kristus; eesti; kaarli
6,8,9,9,7,10,9,11,9,13,köler; ilus; fresko; kirik; villem; lutsifer; sakslane; stackelberg; kristus; eesti; kaarli
7,8,9,9,10,8,9,11,9,13,köler; ilus; fresko; kirik; villem; lutsifer; sakslane; stackelberg; kristus; eesti; kaarli
7,8,10,9,8,6,9,10,7,13,köler; ilus; fresko; kirik; villem; lutsifer; sakslane; stackelberg; kristus; eesti; kaarli
