EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,4,5,4,3,4,5,5,13,haridus; peeter; provints; balti; tartu
3,5,4,5,3,3,4,5,5,13,haridus; peeter; provints; balti; tartu
3,5,5,5,3,4,5,5,5,13,haridus; peeter; provints; balti; tartu
3,5,5,5,3,4,5,5,5,13,haridus; peeter; provints; balti; tartu
4,4,5,5,3,4,5,5,5,13,haridus; peeter; provints; balti; tartu
4,5,5,5,4,4,5,5,5,13,haridus; peeter; provints; balti; tartu
4,4,5,5,4,5,5,5,5,13,haridus; peeter; provints; balti; tartu
4,4,5,5,4,5,5,5,5,13,haridus; peeter; provints; balti; tartu
5,4,5,5,4,5,5,5,5,13,haridus; peeter; provints; balti; tartu
5,4,5,5,4,5,5,5,5,13,haridus; peeter; provints; balti; tartu
5,4,5,5,5,5,5,5,5,13,haridus; peeter; provints; balti; tartu
