EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,11,11,11,11,11,10,11,12,lähedane; lõpp; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
11,11,11,11,10,11,11,10,11,12,lähedane; lõpp; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
11,11,11,11,10,11,11,10,11,12,lähedane; lõpp; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
11,11,11,11,10,11,11,10,11,12,lähedane; lõpp; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
11,11,11,11,11,11,11,10,11,12,lähedane; lõpp; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
11,11,11,11,11,11,11,11,11,12,lähedane; lõpp; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
11,11,11,11,11,11,11,11,11,12,lõpp; lähedane; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
11,11,11,11,11,11,11,11,11,12,lõpp; lähedane; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
11,11,11,11,11,11,11,11,11,12,lõpp; lähedane; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
11,11,11,11,11,11,11,11,11,12,lõpp; lähedane; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
11,11,11,11,11,11,11,11,11,12,lõpp; lähedane; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
