EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,8,9,3,5,8,7,10,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
8,9,8,9,3,5,8,7,10,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
10,9,8,9,3,6,8,8,10,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
11,9,8,10,4,6,8,8,10,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; formaat; televisioon; dokumentaalfilm; produtsent; eesti; autoridokk
11,8,9,11,5,6,7,9,9,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; formaat; televisioon; dokumentaalfilm; produtsent; eesti; autoridokk
9,8,9,11,5,9,8,10,9,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
8,8,10,9,7,10,9,8,10,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
6,7,10,9,7,9,8,11,9,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
8,7,9,9,8,10,8,12,8,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
6,8,9,9,8,9,7,9,8,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
7,8,8,8,8,10,7,12,6,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti; autoridokk
