EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,6,10,4,9,8,7,8,15,laps; sotsiaaldemokraatlik; eelarve; mälestuspark; kriis; tartu; miinimumpalk; euroopa; liit; kirik; erakond; lennupäev; suure-jaan
10,11,8,10,4,9,8,7,8,15,laps; sotsiaaldemokraatlik; eelarve; mälestuspark; kriis; tartu; miinimumpalk; euroopa; liit; kirik; erakond; lennupäev; suure-jaan
10,11,8,10,4,9,8,7,8,15,laps; sotsiaaldemokraatlik; eelarve; mälestuspark; kriis; tartu; miinimumpalk; euroopa; liit; kirik; erakond; lennupäev; suure-jaan
10,11,9,10,4,9,8,7,8,15,laps; sotsiaaldemokraatlik; eelarve; mälestuspark; kriis; tartu; miinimumpalk; euroopa; liit; kirik; erakond; lennupäev; suure-jaan
9,10,10,10,4,9,10,7,8,15,laps; sotsiaaldemokraatlik; eelarve; mälestuspark; kriis; tartu; miinimumpalk; euroopa; liit; kirik; erakond; lennupäev; suure-jaan
7,10,11,10,4,10,9,7,8,15,laps; sotsiaaldemokraatlik; eelarve; mälestuspark; kriis; tartu; miinimumpalk; euroopa; liit; kirik; erakond; lennupäev; suure-jaan
7,9,8,9,6,10,11,11,9,15,laps; sotsiaaldemokraatlik; eelarve; mälestuspark; kriis; tartu; miinimumpalk; euroopa; liit; kirik; erakond; lennupäev; suure-jaan
7,12,9,9,7,9,10,8,8,15,laps; sotsiaaldemokraatlik; eelarve; mälestuspark; kriis; tartu; miinimumpalk; euroopa; liit; kirik; erakond; lennupäev; suure-jaan
9,9,10,9,6,10,10,11,8,15,laps; sotsiaaldemokraatlik; eelarve; mälestuspark; kriis; tartu; miinimumpalk; euroopa; liit; kirik; erakond; lennupäev; suure-jaan
7,10,7,8,5,9,12,10,8,15,laps; sotsiaaldemokraatlik; eelarve; mälestuspark; kriis; tartu; miinimumpalk; euroopa; liit; kirik; erakond; lennupäev; suure-jaan
7,10,9,9,5,9,11,9,7,15,laps; sotsiaaldemokraatlik; eelarve; mälestuspark; kriis; tartu; miinimumpalk; euroopa; liit; kirik; erakond; lennupäev; suure-jaan
