EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,3,3,2,1,3,5,3,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
3,4,4,4,2,1,3,5,3,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
3,4,4,4,2,1,4,5,3,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
4,4,5,4,2,3,4,5,3,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
6,4,5,4,2,4,4,5,3,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
5,4,4,4,2,6,4,7,3,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
6,3,4,5,3,5,5,7,4,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
6,3,4,5,4,5,5,6,3,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
5,3,4,5,5,6,6,6,3,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
5,4,4,5,5,6,6,4,5,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
4,2,3,5,3,7,7,4,5,11,laps; looming; ülo; õppima; keelama; granaat; vanaisa
