EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,4,8,5,5,4,10,6,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
9,7,4,8,5,6,5,10,6,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
9,7,4,8,5,5,5,10,6,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
8,7,6,8,5,7,6,10,6,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
8,7,5,9,5,6,5,10,6,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
8,7,9,8,5,8,7,10,6,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
10,7,10,10,9,8,10,10,6,12,soomaa; tänutunne; vaike; heinamaa; mait; tantsupidu; hing; isetegemine; metsamaa; agu
8,8,10,10,10,9,10,9,7,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
10,7,10,9,10,9,10,10,9,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
9,7,10,10,10,8,10,10,10,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
8,6,10,10,10,9,10,10,10,12,tänutunne; soomaa; vaike; heinamaa; mait; tantsupidu; hing; isetegemine; metsamaa; agu
