EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,10,9,10,8,7,10,9,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
10,9,10,9,9,8,7,10,9,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
10,9,10,9,9,8,7,10,9,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
10,10,10,10,9,9,8,10,9,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
11,9,10,10,9,9,8,11,9,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
11,10,10,11,10,10,8,11,9,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
10,10,11,11,10,9,10,11,9,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
10,10,11,9,11,9,10,11,10,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
11,10,11,11,11,11,10,11,10,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
10,9,11,11,11,11,11,11,11,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
10,10,11,11,11,11,11,10,11,12,lahing; sõda; õppus; kaitseliit; suur; britt; nato; tehnika; väin; klubi; saar
