EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,4,3,3,5,5,4,3,15,periood; eesti; jagamine; liit; euroopa
4,5,3,3,3,5,5,4,3,15,periood; eesti; jagamine; liit; euroopa
4,5,4,3,3,5,5,4,3,15,periood; eesti; jagamine; liit; euroopa
5,4,4,3,1,5,5,3,3,15,periood; eesti; jagamine; liit; euroopa
5,4,5,4,1,5,5,3,3,15,periood; eesti; jagamine; liit; euroopa
5,5,5,4,3,4,5,3,3,15,periood; eesti; jagamine; liit; euroopa
4,5,4,5,2,4,4,3,3,15,periood; eesti; jagamine; liit; euroopa
5,4,3,5,3,4,4,4,4,15,periood; eesti; jagamine; liit; euroopa
4,4,2,5,3,4,3,3,4,15,periood; eesti; jagamine; liit; euroopa
4,4,4,4,5,3,3,5,4,15,periood; eesti; jagamine; liit; euroopa
4,4,4,4,5,4,1,5,4,15,periood; eesti; jagamine; liit; euroopa
